Amsterdam	Netherlands	2497000	1443258	1049000	7500000	1930000
Antwerp	Belgium	1406000	915218	965000	NaN	NaN
Athens	Greece	3761000	4013368	3257000	3900000	3750000
Barcelona	Spain	4082000	4233638	5083000	4900000	4250000
Belgrade	Serbia	NaN	NaN	1117000	NaN	1710000
Berlin	Germany	4016000	4971331	3450000	6000000	4275000
Birmingham	UK	3683000	2357100	2302000	2600000	2550000
Bremen	Germany	1077000	1249291	NaN	NaN	NaN
Bristol	UK	1041000	1006600	NaN	NaN	NaN
Brussels	Belgium	2639000	1800663	1904000	3800000	1850000
Bucharest	Romania	2064000	2140194	1934000	NaN	2125000
Budapest	Hungary	2523000	2393846	1706000	2800000	2300000
Cardiff	UK	1097000	841600	NaN	NaN	NaN
Copenhagen	Denmark	1881000	1806667	1186000	2400000	1390000
Dnipropetrovsk	Ukraine	NaN	NaN	1004000	NaN	1360000
Donetsk	Ukraine	NaN	NaN	966000	NaN	1850000
Dublin	Ireland	1477000	1535446	1099000	1600000	1080000
Frankfurt	Germany	2764000	2517561	NaN	5600000	1930000
Glasgow	UK	1395000	1747100	1170000	NaN	1420000
Hamburg	Germany	2983000	3134620	1786000	4600000	2575000
Helsinki	Finland	1285000	1224107	1115000	1800000	1100000
Istanbul	Turkey	NaN	11044642	10525000	11400000	12500000
Katowice	Poland	3029000	2710397	NaN	NaN	2775000
Kazan	Russia	NaN	NaN	1140000	NaN	1120000
Kharkiv	Ukraine	NaN	NaN	1453000	NaN	1830000
Kiev	Ukraine	NaN	NaN	2805000	NaN	3400000
Kraków	Poland	1236000	1264322	756000	2100000	NaN
Leeds	UK	2302000	2393300	1547000	2100000	2125000
Lille	France/Belgium	1161000	NaN	1033000	2600000	1380000
Lisbon	Portugal	2591000	2435837	2824000	2700000	2550000
Liverpool	UK	2241000	1365900	819000	NaN	1330000
London	UK	13709000	11917000	8631000	7400000	12300000
Lyon	France	1669000	1717300	1468000	1600000	1440000
Madrid	Spain	5263000	5804829	5851000	5600000	6100000
Manchester	UK	2556000	2539100	2253000	2500000	2475000
Marseille	France	1530000	NaN	1469000	NaN	1500000
Milan	Italy	4136000	3076643	2967000	7400000	3550000
Minsk	Belarus	NaN	NaN	1852000	NaN	1790000
Moscow	Russia	NaN	NaN	10550000	NaN	13500000
Munich	Germany	2665000	2531706	1349000	6100000	1980000
Naples	Italy	2905000	2253964	2276000	3100000	3075000
Nizhniy-Novgorod	Russia	NaN	NaN	1267000	NaN	1700000
Nottingham-Derby	UK	1534000	825600	NaN	NaN	NaN
Nuremberg	Germany	1443000	1288797	NaN	NaN	1040000
Odessa	Ukraine	NaN	NaN	1009000	NaN	1080000
Oslo	Norway	1037000	1090513	888000	1700000	NaN
Paris	France	11175000	11089124	10485000	11200000	10000000
Perm	Russia	NaN	NaN	982000	NaN	1070000
Porto	Portugal	1245000	1099040	1355000	NaN	1220000
Southampton	UK	1547000	489900	NaN	NaN	NaN
Prague	Czech-Republic	1669000	1964750	1162000	2300000	1340000
Rhein-Nord	Germany	3073000	1525029	NaN	13400000	1320000
Rhein-Süd	Germany	3070000	1873580	1001000	13400000	1870000
Riga	Latvia	1195000	1003949	NaN	NaN	NaN
Rome	Italy	3190000	3457690	3362000	3700000	3500000
Rostov-on-Don	Russia	NaN	NaN	1046000	NaN	1290000
Rotterdam	Netherlands	1904000	1186818	1010000	7500000	1490000
Ruhr-Valley	Germany	5376000	5302179	NaN	13400000	5700000
Saarbrücken-Forbach	Germany/France	1102000	815317	NaN	NaN	NaN
Saint-Petersburg	Russia	NaN	NaN	4575000	NaN	4750000
Samara	Russia	NaN	NaN	1131000	NaN	1410000
Saratov	Russia	NaN	NaN	822000	NaN	1070000
Seville	Spain	1180000	1249346	NaN	NaN	1310000
Sheffield	UK	1569000	1277100	NaN	NaN	1270000
Sofia	Bulgaria	1174000	1263807	1196000	NaN	1250000
Stockholm	Sweden	2171000	1860872	1285000	2200000	1970000
Stuttgart	Germany	2289000	2663660	NaN	2700000	2650000
The-Hague	Netherlands	1404000	978161	NaN	7500000	1420000
Thessaloniki	Greece	1052000	995766	837000	NaN	NaN
Turin	Italy	1601000	1745221	1665000	2200000	1600000
Tyneside	UK	1599000	1055600	891000	NaN	1060000
Ufa	Russia	NaN	NaN	1023000	NaN	1070000
Valencia	Spain	1398000	1564145	814000	2300000	1630000
Vienna	Austria	2584000	2179769	1706000	2200000	2000000
Volgograd	Russia	NaN	NaN	977000	NaN	1350000
Warsaw	Poland	2785000	2660406	1712000	3000000	2375000
Zürich	Switzerland	1615000	1110478	1150000	2500000	1140000
Łódź	Poland	1165000	1163516	NaN	NaN	1060000
